5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.141414 stddev:0.864684 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.141414 stddev:0.791496 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.141414 stddev:0.921243 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.10101 stddev:0.8225969999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.8225969999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.060606 stddev:0.982865 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.969697 stddev:0.797148 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.050505 stddev:0.8211069999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.795995 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.141414 stddev:0.8288989999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.181818 stddev:0.891754 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.30303 stddev:0.9151309999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.1717169999999997 stddev:0.899387 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.383838 stddev:0.950354 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.282828 stddev:0.995347 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.887625 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.929293 stddev:0.890494 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.9466969999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.7817689999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.393939 stddev:0.930061 med:3.0
